Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
1.00000000000000e+03	(5.41941341404633e+01dB,-2.30680403839227e-01°)	(2.63502454119245e+01dB,1.79996452368203e+02°)	(2.78438887285388e+01dB,1.79772867227957e+02°)
1.12201845430196e+03	(5.41941159543936e+01dB,-2.58827062258484e-01°)	(2.63502453988550e+01dB,1.79996019491662e+02°)	(2.78438705555386e+01dB,1.79745153446079e+02°)
1.25892541179417e+03	(5.41940930618514e+01dB,-2.90408010505275e-01°)	(2.63502453846720e+01dB,1.79995533796197e+02°)	(2.78438476771794e+01dB,1.79714058193298e+02°)
1.41253754462275e+03	(5.41940642410090e+01dB,-3.25842230908975e-01°)	(2.63502453657988e+01dB,1.79994988836928e+02°)	(2.78438188752102e+01dB,1.79679168932163e+02°)
1.58489319246111e+03	(5.41940279600019e+01dB,-3.65599804548790e-01°)	(2.63502453440647e+01dB,1.79994377382576e+02°)	(2.78437826159372e+01dB,1.79640022812875e+02°)
1.77827941003892e+03	(5.41939822822021e+01dB,-4.10208135288219e-01°)	(2.63502453135321e+01dB,1.79993691319522e+02°)	(2.78437369686700e+01dB,1.79596100545190e+02°)
1.99526231496888e+03	(5.41939247808384e+01dB,-4.60258930134187e-01°)	(2.63502452780103e+01dB,1.79992921544125e+02°)	(2.78436795028281e+01dB,1.79546819525740e+02°)
2.23872113856834e+03	(5.41938523900102e+01dB,-5.16416023680037e-01°)	(2.63502452312943e+01dB,1.79992057841946e+02°)	(2.78436071587158e+01dB,1.79491526134374e+02°)
2.51188643150958e+03	(5.41937612592299e+01dB,-5.79424150388514e-01°)	(2.63502451746649e+01dB,1.79991088752187e+02°)	(2.78435160845650e+01dB,1.79429487097425e+02°)
2.81838293126445e+03	(5.41936465332400e+01dB,-6.50118773437683e-01°)	(2.63502451014934e+01dB,1.79990001415633e+02°)	(2.78434014317466e+01dB,1.79359879810929e+02°)
3.16227766016838e+03	(5.41935021048604e+01dB,-7.29437097193593e-01°)	(2.63502450081426e+01dB,1.79988781404010e+02°)	(2.78432570967178e+01dB,1.79281781498797e+02°)
3.54813389233575e+03	(5.41933202892891e+01dB,-8.18430398613603e-01°)	(2.63502448927935e+01dB,1.79987412528527e+02°)	(2.78430753964957e+01dB,1.79194157072859e+02°)
3.98107170553497e+03	(5.41930914068769e+01dB,-9.18277828378417e-01°)	(2.63502447465791e+01dB,1.79985876625084e+02°)	(2.78428466602979e+01dB,1.79095845546538e+02°)
4.46683592150963e+03	(5.41928032778695e+01dB,-1.03030184922088e+00°)	(2.63502445622317e+01dB,1.79984153313230e+02°)	(2.78425587156379e+01dB,1.78985544837550e+02°)
5.01187233627272e+03	(5.41924405726030e+01dB,-1.15598548895959e+00°)	(2.63502443306410e+01dB,1.79982219725741e+02°)	(2.78421962419620e+01dB,1.78861794785299e+02°)
5.62341325190348e+03	(5.41919839972477e+01dB,-1.29699160273681e+00°)	(2.63502440395649e+01dB,1.79980050205199e+02°)	(2.78417399576828e+01dB,1.78722958192064e+02°)
6.30957344480192e+03	(5.41914092714569e+01dB,-1.45518435010864e+00°)	(2.63502436733854e+01dB,1.79977615963543e+02°)	(2.78411655980715e+01dB,1.78567199686348e+02°)
7.07945784384137e+03	(5.41906858419873e+01dB,-1.63265310127625e+00°)	(2.63502432117070e+01dB,1.79974884700091e+02°)	(2.78404426302804e+01dB,1.78392462198633e+02°)
7.94328234724280e+03	(5.41897752680479e+01dB,-1.83173899072793e+00°)	(2.63502426289704e+01dB,1.79971820172956e+02°)	(2.78395326390775e+01dB,1.78196440836316e+02°)
8.91250938133744e+03	(5.41886291988332e+01dB,-2.05506433195662e+00°)	(2.63502418994484e+01dB,1.79968381718155e+02°)	(2.78383872993848e+01dB,1.77976553949888e+02°)
9.99999999999998e+03	(5.41871868089581e+01dB,-2.30556508037792e+00°)	(2.63502409769032e+01dB,1.79964523710138e+02°)	(2.78369458320550e+01dB,1.77729911209484e+02°)
1.12201845430196e+04	(5.41853716309878e+01dB,-2.58652651279659e+00°)	(2.63502398179329e+01dB,1.79960194956353e+02°)	(2.78351318130549e+01dB,1.77453278530851e+02°)
1.25892541179416e+04	(5.41830875335222e+01dB,-2.90162218894615e+00°)	(2.63502383568872e+01dB,1.79955338018142e+02°)	(2.78328491766350e+01dB,1.77143039792911e+02°)
1.41253754462275e+04	(5.41802137335021e+01dB,-3.25495618679008e+00°)	(2.63502365188980e+01dB,1.79949888448654e+02°)	(2.78299772146041e+01dB,1.76795155364556e+02°)
1.58489319246111e+04	(5.41765985344632e+01dB,-3.65110839324530e+00°)	(2.63502342040944e+01dB,1.79943773937934e+02°)	(2.78263643303687e+01dB,1.76405117668821e+02°)
1.77827941003892e+04	(5.41720515455460e+01dB,-4.09518240095187e+00°)	(2.63502312922465e+01dB,1.79936913353669e+02°)	(2.78218202532995e+01dB,1.75967904245379e+02°)
