frequency	V(onoise)*V(onoise)
1.000000000000000e+03	3.280782e-12
1.122018454301963e+03	2.936459e-12
1.258925411794167e+03	2.628932e-12
1.412537544622754e+03	2.354268e-12
1.584893192461113e+03	2.108955e-12
1.778279410038922e+03	1.889856e-12
1.995262314968879e+03	1.694170e-12
2.238721138568338e+03	1.519395e-12
2.511886431509578e+03	1.363297e-12
2.818382931264452e+03	1.223878e-12
3.162277660168377e+03	1.099357e-12
3.548133892335752e+03	9.881417e-13
3.981071705534969e+03	8.888101e-13
4.466835921509626e+03	8.000922e-13
5.011872336272717e+03	7.208537e-13
5.623413251903484e+03	6.500816e-13
6.309573444801924e+03	5.868709e-13
7.079457843841369e+03	5.304136e-13
7.943282347242804e+03	4.799878e-13
8.912509381337442e+03	4.349487e-13
9.999999999999984e+03	3.947206e-13
1.122018454301962e+04	3.587891e-13
1.258925411794165e+04	3.266947e-13
1.412537544622752e+04	2.980270e-13
1.584893192461110e+04	2.724194e-13
1.778279410038919e+04	2.495443e-13
1.995262314968875e+04	2.291090e-13
2.238721138568335e+04	2.108521e-13
2.511886431509574e+04	1.945399e-13
2.818382931264447e+04	1.799632e-13
3.162277660168372e+04	1.669352e-13
3.548133892335746e+04	1.552887e-13
3.981071705534962e+04	1.448738e-13
4.466835921509619e+04	1.355563e-13
5.011872336272709e+04	1.272157e-13
5.623413251903474e+04	1.197437e-13
6.309573444801914e+04	1.130425e-13
7.079457843841356e+04	1.070238e-13
7.943282347242790e+04	1.016074e-13
8.912509381337426e+04	9.671977e-14
9.999999999999967e+04	9.229356e-14
1.122018454301960e+05	8.826601e-14
1.258925411794163e+05	8.457827e-14
1.412537544622749e+05	8.117436e-14
1.584893192461108e+05	7.800041e-14
1.778279410038916e+05	7.500384e-14
1.995262314968872e+05	7.213289e-14
2.238721138568331e+05	6.933623e-14
2.511886431509570e+05	6.656306e-14
2.818382931264442e+05	6.376373e-14
3.162277660168366e+05	6.089099e-14
3.548133892335740e+05	5.790216e-14
3.981071705534955e+05	5.476218e-14
4.466835921509612e+05	5.144730e-14
5.011872336272700e+05	4.794921e-14
5.623413251903466e+05	4.427866e-14
6.309573444801903e+05	4.046751e-14
7.079457843841346e+05	3.656838e-14
7.943282347242776e+05	3.265093e-14
8.912509381337411e+05	2.879515e-14
9.999999999999950e+05	2.508261e-14
1.122018454301958e+06	2.158736e-14
1.258925411794161e+06	1.836856e-14
1.412537544622747e+06	1.546594e-14
1.584893192461105e+06	1.289877e-14
1.778279410038913e+06	1.066766e-14
1.995262314968869e+06	8.758311e-15
2.238721138568327e+06	7.145997e-15
2.511886431509566e+06	5.799909e-15
2.818382931264438e+06	4.686775e-15
3.162277660168361e+06	3.773558e-15
3.548133892335733e+06	3.029228e-15
3.981071705534949e+06	2.425781e-15
4.466835921509604e+06	1.938664e-15
5.011872336272691e+06	1.546829e-15
5.623413251903456e+06	1.232530e-15
6.309573444801892e+06	9.810038e-16
7.079457843841334e+06	7.800922e-16
7.943282347242763e+06	6.198609e-16
8.912509381337397e+06	4.922422e-16
9.999999999999933e+06	3.907156e-16
1.122018454301956e+07	3.100295e-16
1.258925411794159e+07	2.459656e-16
1.412537544622744e+07	1.951426e-16
1.584893192461102e+07	1.548540e-16
1.778279410038910e+07	1.229365e-16
1.995262314968865e+07	9.766360e-17
2.238721138568323e+07	7.765894e-17
2.511886431509561e+07	6.182754e-17
2.818382931264433e+07	4.929957e-17
3.162277660168356e+07	3.938527e-17
3.548133892335727e+07	3.153845e-17
3.981071705534942e+07	2.532711e-17
4.466835921509597e+07	2.040983e-17
5.011872336272684e+07	1.651683e-17
5.623413251903446e+07	1.343502e-17
6.309573444801882e+07	1.099598e-17
7.079457843841322e+07	9.066645e-18
7.943282347242750e+07	7.541737e-18
8.912509381337380e+07	6.337959e-18
9.999999999999915e+07	5.389314e-18
1.122018454301954e+08	4.643434e-18
1.258925411794156e+08	4.058692e-18
1.412537544622742e+08	3.601924e-18
1.584893192461100e+08	3.246665e-18
1.778279410038907e+08	2.971773e-18
1.995262314968862e+08	2.760379e-18
2.238721138568319e+08	2.599061e-18
2.511886431509557e+08	2.477198e-18
2.818382931264428e+08	2.386430e-18
3.162277660168350e+08	2.320183e-18
3.548133892335722e+08	2.273229e-18
3.981071705534935e+08	2.241220e-18
4.466835921509589e+08	2.220154e-18
5.011872336272675e+08	2.205700e-18
5.623413251903436e+08	2.192259e-18
6.309573444801872e+08	2.171731e-18
7.079457843841310e+08	2.132122e-18
7.943282347242737e+08	2.056824e-18
8.912509381337366e+08	1.926591e-18
9.999999999999900e+08	1.727032e-18
1.122018454301952e+09	1.461082e-18
1.258925411794154e+09	1.156869e-18
1.412537544622740e+09	8.583123e-19
1.584893192461097e+09	6.028353e-19
1.778279410038904e+09	4.067783e-19
1.995262314968859e+09	2.675568e-19
2.238721138568316e+09	1.735475e-19
2.511886431509553e+09	1.119369e-19
2.818382931264423e+09	7.219792e-20
3.162277660168345e+09	4.674314e-20
3.548133892335716e+09	3.045775e-20
3.981071705534928e+09	2.001305e-20
4.466835921509582e+09	1.328114e-20
5.011872336272666e+09	8.912876e-21
5.623413251903427e+09	6.054999e-21
6.309573444801861e+09	4.167472e-21
7.079457843841297e+09	2.907506e-21
7.943282347242723e+09	2.056583e-21
8.912509381337353e+09	1.474660e-21
1.000000000000000e+10	1.071411e-21
