frequency	V(onoise)*V(onoise)
1.000000000000000e+03	3.027342e-13
1.122018454301963e+03	2.703384e-13
1.258925411794167e+03	2.414428e-13
1.412537544622754e+03	2.156693e-13
1.584893192461113e+03	1.926804e-13
1.778279410038922e+03	1.721751e-13
1.995262314968879e+03	1.538852e-13
2.238721138568338e+03	1.375712e-13
2.511886431509578e+03	1.230197e-13
2.818382931264452e+03	1.100401e-13
3.162277660168377e+03	9.846261e-14
3.548133892335752e+03	8.813577e-14
3.981071705534969e+03	7.892445e-14
4.466835921509626e+03	7.070811e-14
5.011872336272717e+03	6.337925e-14
5.623413251903484e+03	5.684201e-14
6.309573444801924e+03	5.101084e-14
7.079457843841369e+03	4.580948e-14
7.943282347242804e+03	4.116988e-14
8.912509381337442e+03	3.703135e-14
9.999999999999984e+03	3.333978e-14
1.122018454301962e+04	3.004687e-14
1.258925411794165e+04	2.710955e-14
1.412537544622752e+04	2.448943e-14
1.584893192461110e+04	2.215223e-14
1.778279410038919e+04	2.006739e-14
1.995262314968875e+04	1.820764e-14
2.238721138568335e+04	1.654868e-14
2.511886431509574e+04	1.506881e-14
2.818382931264447e+04	1.374867e-14
3.162277660168372e+04	1.257102e-14
3.548133892335746e+04	1.152045e-14
3.981071705534962e+04	1.058323e-14
4.466835921509619e+04	9.747088e-15
5.011872336272709e+04	9.001104e-15
5.623413251903474e+04	8.335513e-15
6.309573444801914e+04	7.741605e-15
7.079457843841356e+04	7.211607e-15
7.943282347242790e+04	6.738573e-15
8.912509381337426e+04	6.316299e-15
9.999999999999967e+04	5.939239e-15
1.122018454301960e+05	5.602432e-15
1.258925411794163e+05	5.301431e-15
1.412537544622749e+05	5.032249e-15
1.584893192461108e+05	4.791298e-15
1.778279410038916e+05	4.575345e-15
1.995262314968872e+05	4.381458e-15
2.238721138568331e+05	4.206970e-15
2.511886431509570e+05	4.049435e-15
2.818382931264442e+05	3.906588e-15
3.162277660168366e+05	3.776312e-15
3.548133892335740e+05	3.656593e-15
3.981071705534955e+05	3.545499e-15
4.466835921509612e+05	3.441132e-15
5.011872336272700e+05	3.341607e-15
5.623413251903466e+05	3.245017e-15
6.309573444801903e+05	3.149423e-15
7.079457843841346e+05	3.052841e-15
7.943282347242776e+05	2.953253e-15
8.912509381337411e+05	2.848647e-15
9.999999999999950e+05	2.737091e-15
1.122018454301958e+06	2.616844e-15
1.258925411794161e+06	2.486515e-15
1.412537544622747e+06	2.345254e-15
1.584893192461105e+06	2.192953e-15
1.778279410038913e+06	2.030425e-15
1.995262314968869e+06	1.859495e-15
2.238721138568327e+06	1.682966e-15
2.511886431509566e+06	1.504425e-15
2.818382931264438e+06	1.327906e-15
3.162277660168361e+06	1.157457e-15
3.548133892335733e+06	9.967111e-16
3.981071705534949e+06	8.485413e-16
4.466835921509604e+06	7.148673e-16
5.011872336272691e+06	5.966212e-16
5.623413251903456e+06	4.938482e-16
6.309573444801892e+06	4.058928e-16
7.079457843841334e+06	3.316138e-16
7.943282347242763e+06	2.695896e-16
8.912509381337397e+06	2.182863e-16
9.999999999999933e+06	1.761829e-16
1.122018454301956e+07	1.418516e-16
1.258925411794159e+07	1.140046e-16
1.412537544622744e+07	9.151295e-17
1.584893192461102e+07	7.340891e-17
1.778279410038910e+07	5.887632e-17
1.995262314968865e+07	4.723591e-17
2.238721138568323e+07	3.792795e-17
2.511886431509561e+07	3.049484e-17
2.818382931264433e+07	2.456473e-17
3.162277660168356e+07	1.983694e-17
3.548133892335727e+07	1.606918e-17
3.981071705534942e+07	1.306683e-17
4.466835921509597e+07	1.067385e-17
5.011872336272684e+07	8.765364e-18
5.623413251903446e+07	7.241563e-18
6.309573444801882e+07	6.022765e-18
7.079457843841322e+07	5.045425e-18
7.943282347242750e+07	4.258952e-18
8.912509381337380e+07	3.623157e-18
9.999999999999915e+07	3.106218e-18
1.122018454301954e+08	2.683058e-18
1.258925411794156e+08	2.334018e-18
1.412537544622742e+08	2.043773e-18
1.584893192461100e+08	1.800421e-18
1.778279410038907e+08	1.594709e-18
1.995262314968862e+08	1.419395e-18
2.238721138568319e+08	1.268723e-18
2.511886431509557e+08	1.138024e-18
2.818382931264428e+08	1.023437e-18
3.162277660168350e+08	9.217270e-19
3.548133892335722e+08	8.301903e-19
3.981071705534935e+08	7.466200e-19
4.466835921509589e+08	6.693016e-19
5.011872336272675e+08	5.970135e-19
5.623413251903436e+08	5.290120e-19
6.309573444801872e+08	4.649802e-19
7.079457843841310e+08	4.049397e-19
7.943282347242737e+08	3.491311e-19
8.912509381337366e+08	2.978840e-19
9.999999999999900e+08	2.514980e-19
1.122018454301952e+09	2.101570e-19
1.258925411794154e+09	1.738831e-19
1.412537544622740e+09	1.425317e-19
1.584893192461097e+09	1.158151e-19
1.778279410038904e+09	9.334181e-20
1.995262314968859e+09	7.466036e-20
2.238721138568316e+09	5.929772e-20
2.511886431509553e+09	4.678931e-20
2.818382931264423e+09	3.669890e-20
3.162277660168345e+09	2.863024e-20
3.548133892335716e+09	2.223195e-20
3.981071705534928e+09	1.719819e-20
4.466835921509582e+09	1.326686e-20
5.011872336272666e+09	1.021643e-20
5.623413251903427e+09	7.862357e-21
6.309573444801861e+09	6.053133e-21
7.079457843841297e+09	4.666326e-21
7.943282347242723e+09	3.604515e-21
8.912509381337353e+09	2.791314e-21
1.000000000000000e+10	2.167593e-21
